context_id,start_year,end_year,start_label,end_label,title,description,sort_order,display_priority,longitude,latitude,location_name,source_titles,source_urls,source_type,confidence_score,confidence_note
ctx_ind_vedic,-1500,-600,公元前1500年,公元前600年,吠陀文化期,雅利安人迁入南亚北部，吠陀文献成型；从早期吠陀到晚期吠陀社会从游牧转向定居农业，种姓制度雏形显现。,1,100,77.4,28.7,印度河-恒河流域,Encyclopaedia Britannica: Vedic religion|Romila Thapar: The Penguin History of Early India,https://www.britannica.com/topic/Vedic-religion|https://www.penguin.co.in/book/the-penguin-history-of-early-india/,synthesized_secondary,75,"示例脉络，年代为学界主流大致估计；后续可按教材细化"
ctx_ind_mahajanapadas,-700,-321,公元前700年,公元前321年,十六大国期,Mahajanapadas（十六大国）并立时期；摩揭陀逐步崛起兼并周边王国；佛陀与笩驮摩那等思想家活跃。,2,120,84.1,25.6,恒河中下游,NCERT Themes in Indian History Part I: Janapadas to Empire|Encyclopaedia Britannica: Mahajanapada,https://ncert.nic.in/textbook.php|https://www.britannica.com/topic/Mahajanapada,synthesized_secondary,80,
ctx_ind_maurya_age,-321,-185,公元前321年,公元前185年,孔雀盛世,旃陀罗笈多奠基、阿育王扩张至次大陆大部；佛教正式国教化；《政事论》成书；阿育王法柱遍布北印。,3,90,85.13,25.61,华氏城 (Pataliputra),Encyclopaedia Britannica: Mauryan Empire|Romila Thapar: Aśoka and the Decline of the Mauryas,https://www.britannica.com/place/Mauryan-Empire,synthesized_secondary,82,
ctx_ind_classical_gupta,320,550,320年,550年,古典黄金期,笈多王朝在恒河平原重建中央权力；十进制 0、零的概念、阿耶波多天文学、迦梨陀娑文学均出此期；佛教石窟艺术与印度教复兴并行。,4,80,85.13,25.61,华氏城 (Pataliputra),Encyclopaedia Britannica: Gupta dynasty|Digital South Asia Library: A Historical Atlas of South Asia,https://www.britannica.com/topic/Gupta-dynasty,synthesized_secondary,85,
ctx_ind_early_medieval_triad,700,1000,700年,1000年,早期中世纪三强,普拉蒂哈拉（北）、波罗（东）、罗湿陀罗拘陀（南）三大王朝长期对峙；卡瑙杰反复易主，被称为"卡瑙杰三角斗"。,5,90,79.94,26.45,卡瑙杰 (Kannauj),Encyclopaedia Britannica: Tripartite Struggle,https://www.britannica.com/topic/Tripartite-Struggle,synthesized_secondary,75,
ctx_ind_tamil_chola,850,1279,850年,1279年,南印度泰米尔王朝,朱罗（Chola）王朝海上贸易延伸至东南亚与中国宋朝；潘地亚、帕拉瓦等南印度王朝同期繁荣。,6,90,79.39,10.79,坦贾武尔 (Thanjavur),Encyclopaedia Britannica: Chola dynasty,https://www.britannica.com/topic/Chola-dynasty,synthesized_secondary,82,
ctx_ind_delhi_sultanate,1206,1526,1206年,1526年,德里苏丹国期,奴隶王朝、卡尔吉、图格鲁克、赛义德、洛迪 五朝相继；伊斯兰统治正式扎根北印；德里逐步成为南亚政治中心。,7,80,77.21,28.61,德里 (Delhi),Encyclopaedia Britannica: Delhi sultanate,https://www.britannica.com/topic/Delhi-sultanate,synthesized_secondary,82,
ctx_ind_mughal_zenith,1526,1707,1526年,1707年,莫卧儿盛世,巴布尔奠基、阿克巴大帝制度奠基、沙贾汗修建泰姬陵、奥朗则布统治极盛；六帝国时代奠定近代南亚行政与艺术风貌。,8,75,77.43,27.18,阿格拉 (Agra),Encyclopaedia Britannica: Mughal Empire|J.F. Richards: The Mughal Empire,https://www.britannica.com/topic/Mughal-dynasty,synthesized_secondary,86,
ctx_ind_colonial_east_india,1757,1858,1757年,1858年,殖民东进期,普拉西战役起东印度公司逐步取代莫卧儿；1857 大起义后王室直接统治印度；铁路、电报、统一货币与英语教育全面铺开。,9,80,88.36,22.57,加尔各答 (Kolkata),Encyclopaedia Britannica: British raj,https://www.britannica.com/event/British-raj,synthesized_secondary,86,
ctx_ind_independence,1885,1947,1885年,1947年,独立运动期,国大党成立到分治；非暴力不合作、二战中的印度国民军、贵格内阁使命；最终 1947 年印巴分治，南亚现代国家诞生。,10,70,77.21,28.61,德里 (Delhi),Encyclopaedia Britannica: Indian Independence Movement,https://www.britannica.com/event/Indian-independence,synthesized_secondary,90,"分治时间线与近代史学界一致；亦可视为殖民期下半段的延伸"
